owner,repo,downstream_cnt
wdndev,llama3-from-scratch-zh,0
dongxuyue,Open-ReplaceAnything,0
Jing-yilin,E2M,0
AIDC-AI,Ovis,0
tenstorrent,tt-buda,0
YuzheZhang-1999,DiffTSR,0
YueFan1014,VideoAgent,0
myscience,open-genie,0
cwx-worst-one,EAT,0
SiavashShams,ssamba,0
premAI-io,benchmarks,0
,lqtrung1998mwpReFT,0
potamides,DeTikZify,0
hacksider,Deep-Live-Cam,0
X-PLUG,Multi-LLM-Agent,0
open-experiments,Telco-AIX,0
arthur-qiu,ReliTalk,0
,ai-winterpythonmotionplanning,0
Francis-Rings,MotionFollower,0
mistralai,mistral-inference,0
thuml,Transolver,0
fudan-generative-vision,hallo,0
FailSpy,abliterator,0
NVIDIA,GenerativeAIExamples,0
kongds,MoRA,0
tommyip,mamba2-minimal,0
,TommyZihaoChatTTSTutorials,0
cotton6,COTTON-size-does-matter,0
tyshiwo1,DiM-DiffusionMamba,0
YUCHEN005,STAR-Adapt,0
tsinghua-fib-lab,UniST,0
xiaoachen98,Open-LLaVA-NeXT,0
Takaaki-Saeki,DiscreteSpeechMetrics,0
runpod,runpodctl,0
lks-ai,anynode,0
open-webui,pipelines,0
aigc-apps,PAI-RAG,0
,yihong0618tgbotcollections,0
ali-vilab,UniAnimate,0
Aiden0526,SymbCoT,0
BIDS-Xu-Lab,Me-LLaMA,0
codefuse-ai,codefuse-chatbot,0
Yanick112,ComfyUI-ToSVG,0
itsnamgyu,block-transformer,0
MolecularAI,Chemformer,0
cvg,nerf-on-the-go,0
Nixtla,nixtla,0
JKerbin,Zhiyin-Butler-Opensource,0
pengHTYX,Era3D,0
modelscope,dash-infer,0
Fanghua-Yu,SUPIR,0
clorislili,ManipLLM,0
dotnet,eShopSupport,0
matatonic,openedai-speech,0
MultimodalUniverse,MultimodalUniverse,0
gordonhu608,MQT-LLaVA,0
MzeroMiko,vHeat,0
LabShuHangGU,MIA-VSR,0
novitalabs,AnimateAnyone,0
thuml,iVideoGPT,0
blazerye,DrugAssist,0
NousResearch,finetuning-subnet,0
Doubiiu,ToonCrafter,0
Tele-AI,TeleSpeech-ASR,0
WxxShirley,GNN4TaskPlan,0
YuchuanTian,U-DiT,0
shaunthecomputerscientist,EDA-GPT,0
HJYao00,DenseConnector,0
seai-lab,TorchSpatial,0
2noise,ChatTTS,0
GoodAI,charlie-mnemonic,0
YangLing0818,EditWorld,0
Telosnex,fllama,0
OSU-NLP-Group,GrokkedTransformer,0
ZubinGou,math-evaluation-harness,0
Schroedinger-Hat,ImageGoNord-Web,0
ymcui,Chinese-Mixtral,0
ILikeAI,AlwaysReddy,0
sairajk,easi-tex,0
HPMLL,BurstGPT,0
cvlab-kaist,DiffMatch,0
cognitivecomputations,spectrum,0
PeiJieSun,NESCL,0
OliBomby,Mapperatorinator,0
,KarelDO,0
LilianHollard,LeYOLO,0
yihong1120,Construction-Hazard-Detection,0
sinanuozdemir,oreilly-hands-on-gpt-llm,0
,openvinotoolkitopenvinobuilddeploy,0
,tembo-iopgvectorize,0
swirlai,swirl-search,0
TMElyralab,MusePose,0
,IEIT-Yuan,0
zqh0253,3DitScene,0
FoundationVision,LlamaGen,0
jaswon,osu-dreamer,0
aws-ia,ecs-blueprints,0
tianweiy,DMD2,0
PKU-YuanGroup,MoE-LLaVA,0
Clin0212,HydraLoRA,0
PeterH0323,Streamer-Sales,0
FasterDecoding,SnapKV,0
Cccccczh404,H-SAM,0
fudan-zvg,PVG,0
WongKinYiu,yolov9,0
OceannTwT,ra-isf,0
Atik-Ahamed,TimeMachine,0
USC-GVL,Agent-Driver,0
withmartian,routerbench,0
kongzhecn,OMG,0
quic,ai-hub-models,0
iscyy,yoloair,0
pointrix-project,msplat,0
vEduardovich,dodari,0
jxbbb,ADAPT,0
davidkim205,nox,0
GAP-LAB-CUHK-SZ,gaustudio,0
ATOMScience-org,AMPL,0
HXMap,MapQR,0
mhamilton723,FeatUp,0
hunto,LocalMamba,0
SkyworkAI,Vitron,0
,yay-robotyayrobot,0
carlosferrazza,humanoid-bench,0
wenhui0206,NeuroGPT,0
raghavc,LLM-RLHF-Tuning-with-PPO-and-DPO,0
ashawkey,InTeX,0
prs-eth,thera,0
,NextAudioGenultimatevocalremoverapi,0
zjunlp,IEPile,0
zqhang,AnomalyCLIP,0
icandle,CAMixerSR,0
HyperGAI,HPT,0
Jingliang-Duan,DSAC-v1,0
,Lab-of-AI-and-RoboticsGSICPSLAM,0
alessiodm,drl-zh,0
ghimiresunil,LLM-PowerHouse-A-Curated-Guide-for-Large-Language-Models-with-Custom-Training-and-Inferencing,0
xfactlab,orpo,0
embodied-generalist,embodied-generalist,0
,2DIPWdubgenius,0
j96w,DexCap,0
AIoT-MLSys-Lab,SVD-LLM,0
facebookresearch,brainmagick,0
facebookresearch,BLINK,0
Y-debug-sys,Diffusion-TS,0
luodhhh,ModernTCN,0
Koldim2001,YOLO-Patch-Based-Inference,0
,droid-datasetdroidpolicylearning,0
,yandexdataschoolPracticalRL,0
gpu-mode,ring-attention,0
foivospar,Arc2Face,0
,shell-nlpgptserver,0
zh460045050,V2L-Tokenizer,0
NISPLab,AT-BSL,0
neurallambda,neurallambda,0
THUNLP-MT,StableToolBench,0
dyabel,AnyTool,0
vita-epfl,UniTraj,0
philz1337x,clarity-upscaler,0
FinancialComputingUCL,LOBFrame,0
NovaSearch-Team,RAG-Retrieval,0
datawhalechina,llm-cookbook,0
nzolman,sindy-rl,0
logtd,ComfyUI-InstanceDiffusion,0
CUHK-AIM-Group,Endora,0
facebookresearch,deit,0
ironjr,semantic-draw,0
yoheinakajima,mindgraph,0
streamlit,example-app-langchain-rag,0
Haiyang-W,GiT,0
CVCUDA,CV-CUDA,0
OpenGVLab,video-mamba-suite,0
HuskyInSalt,CRAG,0
TerryPei,EfficientVMamba,0
1Panel-dev,MaxKB,0
zifuwan,Sigma,0
truthofmatthew,persian-license-plate-recognition,0
LeonHLJ,FouriScale,0
ZJUICSR,AIcert,0
center-for-humans-and-machines,transformer-heads,0
Vincent-liuwingsang,unlost,0
SqueezeAILab,LLM2LLM,0
OpenMOSS,AnyGPT,0
kuwaai,genai-os,0
emcf,thepipe,0
Alpha-Innovator,ChartVLM,0
yyyujintang,VMRNN-PyTorch,0
vndee,local-talking-llm,0
chenyangMl,keyword-spot,0
NUS-HPC-AI-Lab,SpeeD,0
hemingkx,Spec-Bench,0
yardenfren1996,B-LoRA,0
IceBearAI,LLM-And-More,0
wandahangFY,YOLO-MIF,0
google-deepmind,recurrentgemma,0
phbst,tinyRAG,0
zgspose,DSTA,0
OpenCodeInterpreter,OpenCodeInterpreter,0
Zejun-Yang,AniPortrait,0
harperreed,photo-similarity-search,0
fuxiao0719,GeoWizard,0
koa-fin,sep,0
chs20,RobustVLM,0
thinkany-ai,rag-search,0
jishengpeng,Languagecodec,0
imagegridworth,IG-VLM,0
umuthopeyildirim,DOOM-Mistral,0
google-deepmind,long-form-factuality,0
42Shawn,LLaVA-PruMerge,0
lpiccinelli-eth,UniDepth,0
decisionintelligence,TFB,0
weijiawu,ParaDiffusion,0
datvodinh,rag-chatbot,0
h-zhao1997,cobra,0
CompVis,depth-fm,0
allenai,spoc-robot-training,0
,danfenghongIEEETPAMISpectralGPT,0
daxcay,ComfyUI-JDCN,0
AI-Maker-Space,LLM-Ops-Cohort-1,0
SakanaAI,evolutionary-model-merge,0
OwlAIProject,Owl,0
,ForzaETHracestack,0
mahmoodlab,UNI,0
alexjungaalto,FederatedLearning,0
mahmoodlab,CONCH,0
meta-prompting,meta-prompting,0
Sally-SH,VSP-LLM,0
FreedomIntelligence,ALLaVA,0
HBioquant,DiffBindFR,0
yashkant,spad,0
facebookresearch,StyleNeRF,0
opendilab,SmartRefine,0
maybeLx,MVSFormerPlusPlus,0
fudan-generative-vision,champ,0
joshyZhou,AST,0
AIDotNet,AntSK,0
shirayu,whispering,0
bcmi,Awesome-Generative-Image-Composition,0
yhyang-myron,DreamComposer,0
Omid-Nejati,MedViT,0
zhiweihu1103,AgriMa,0
alibabasglab,MossFormer2,0
tincans-ai,gazelle,0
neo4j-labs,llm-graph-builder,0
,yuunnn-wRWKVPytorch,0
microsoft,SpeechT5,0
BiaPyX,BiaPy,0
cnulab,RealNet,0
mrdbourke,simple-local-rag,0
ylsdamxssjxxdd,eva,0
TNTwise,REAL-Video-Enhancer,0
,jayLEE0301vqbetofficial,0
decisionintelligence,pathformer,0
XPandora,PhysGaussian,0
AmeenAli,HiddenMambaAttn,0
datawhalechina,joyrl-book,0
Infatoshi,fcc-intro-to-llms,0
bfs18,rfwave,0
NewT123-WM,tnlearn,0
,osi1880vrpromptquill,0
sail-sg,sailor-llm,0
PKU-YuanGroup,Open-Sora-Plan,0
StavC,ComPromptMized,0
searchsolved,search-solved-public-seo,0
lllyasviel,Fooocus,0
yuhaoliu7456,Diff-Plugin,0
poloclub,unitable,0
fusion-jena,automatic-KG-creation-with-LLM,0
fashn-AI,tryondiffusion,0
BiDiff,bidiff,0
bytedance,res-adapter,0
kwuking,TimeMixer,0
definitive-io,crewai-groq,0
,usyd-fsalabfp6llm,0
containers,ai-lab-recipes,0
arktrail,Dorothy-Ymir,0
Learnware-LAMDA,Beimingwu,0
YoucanBaby,VTG-GPT,0
sled-group,InfEdit,0
bcmi,ControlCom-Image-Composition,0
thunlp,InfLLM,0
thu-coai,ShieldLM,0
apple,ml-mobileclip,0
lose4578,SAM-DiffSR,0
naver,dust3r,0
centerforaisafety,HarmBench,0
openai,transformer-debugger,0
snap-research,Panda-70M,0
mini-sora,minisora,0
PKU-YuanGroup,ProLLaMA,0
metaswang,bao,0
thu-nics,qllm-eval,0
spacewalk01,yolov9-face-detection,0
parthsarthi03,raptor,0
mbzuai-oryx,GeoChat,0
gcorso,DiffDock,0
datawhalechina,llms-from-scratch-cn,0
facebookresearch,ViewDiff,0
intel,intel-npu-acceleration-library,0
dongyh20,Octopus,0
zengjianhao,CAT-DM,0
microsoft,simulated-trial-and-error,0
princeton-nlp,CEPE,0
sunshangquan,logit-standardization-KD,0
OpenDriveLab,DriveLM,0
CVMI-Lab,SC-GS,0
ForeignGods,ComfyUI-Mana-Nodes,0
Eladlev,AutoPrompt,0
Louis-udm,VGCN-BERT,0
thuml,Large-Time-Series-Model,0
,jiahe7ayMINILLM,0
11dogzi,Comfyui-ergouzi-DGNJD,0
qinghew,StableIdentity,0
OpenGVLab,all-seeing,0
ictnlp,TruthX,0
SaberaTalukder,TOTEM,0
lzw-lzw,GroundingGPT,0
PallasBot,Pallas-Bot,0
thuml,AutoTimes,0
YifeiZhou02,ArCHer,0
sophgo,LLM-TPU,0
WHU-USI3DV,Mobile-Seed,0
domschl,HuggingFaceGuidedTourForMac,0
cloneofsimo,min-max-gpt,0
pkhungurn,talking-head-anime-4-demo,0
deepseek-ai,DeepSeek-VL,0
SalesforceAIResearch,xLAM,0
wjh892521292,LKM-UNet,0
sail-sg,sdft,0
carriex,recomp,0
tylerprogramming,31-day-challenge-ai,0
IRMVLab,Point-Mamba,0
shawntan,scattermoe,0
Meituan-AutoML,VisionLLaMA,0
lizhe00,AnimatableGaussians,0
ComfyWorkflows,ComfyUI-Launcher,0
OpenDriveLab,ELM,0
,adithya-s-k,0
eliranwong,letmedoit,0
ibrahimethemhamamci,CT-CLIP,0
YangLing0818,RealCompo,0
,AammarTufailsix-monthspythonfordatascience-mentorship-program,0
NousResearch,Hermes-Function-Calling,0
OpenGVLab,VideoMamba,0
pkunlp-icler,FastV,0
metavoiceio,metavoice-src,0
open-compass,DevEval,0
showlab,DragAnything,0
guosyjlu,DS-Agent,0
heheyas,V3D,0
,dongyangli-delEEGImagedecode,0
TencentARC,BrushNet,0
AuroBit,ComfyUI-OOTDiffusion,0
UX-Decoder,DINOv,0
Meize0729,RSBuilding,0
HKUNLP,diffusion-of-thoughts,0
Altaflux,agent-mimir,0
opengear-project,GEAR,0
NVlabs,VILA,0
mark-lord,MLX-text-completion-notebook,0
jshuadvd,LongRoPE,0
GGGHSL,GraphDreamer,0
luogen1996,LLaVA-HR,0
ZhengPeng7,BiRefNet,0
structuredllm,syncode,0
tulerfeng,PlanKD,0
PRBonn,LiDiff,0
apple,ml-veclip,0
ModelTC,llmc,0
qizekun,ShapeLLM,0
Visionatrix,Visionatrix,0
NoviScl,Design2Code,0
leggedrobotics,terrain-generator,0
yifanlu0227,ChatSim,0
NVlabs,T-Stitch,0
SmartFlowAI,Hand-on-RAG,0
LabShuHangGU,Adaptive-Token-Dictionary,0
nii-yamagishilab,ZMM-TTS,0
nix-community,dream2nix,0
naver,multi-hmr,0
Ablustrund,LoRAMoE,0
mbzuai-oryx,MobiLlama,0
dendenxu,diff-gaussian-rasterization,0
zju3dv,4K4D,0
zju3dv,EasyVolcap,0
clinicalml,co-llm,0
decodingml,articles-code,0
,hao-ai-labConsistencyLLM,0
allenai,WildBench,0
mikonvergence,ControlNetInpaint,0
3DAgentWorld,Toolkit-for-Prompt-Compression,0
EvolvingLMMs-Lab,lmms-eval,0
MrBlankness,LightM-UNet,0
rsummers11,CADLab,0
CompVis,attribute-control,0
QhelDIV,ShapeFormer,0
,EthanH3514ALYolo,0
huggingface,parler-tts,0
tsunghan-wu,SLD,0
,frankchiengComfyUIMagicClothing,0
TRI-ML,vlm-evaluation,0
zjukg,MyGO,0
ybendou,easy,0
dagu-org,dagu,0
sheldonresearch,ProG,0
TRI-ML,prismatic-vlms,0
Xiaojiu-z,Stable-Makeup,0
,QwenLM,0
Liyan06,MiniCheck,0
alibaba,conv-llava,0
,liming-aiControlNetPlusPlus,0
harvard-lil,warc-gpt,0
HL-hanlin,Ctrl-Adapter,0
Fediory,HVI-CIDNet,0
Stability-AI,StableCascade,0
microsoft,ParrotServe,0
,dorjeduck,0
G-U-N,AnimateLCM,0
TencentQQGYLab,ComfyUI-ELLA,0
NVlabs,DoRA,0
BasedLabs,NoLabs,0
Xilinx,mlir-aie,0
Linear95,SPAG,0
ali-vilab,FlashFace,0
XiSHEN0220,RANSAC-Flow,0
KMnO4-zx,TinyRAG,0
princeton-computational-imaging,NSF,0
root-project,root,0
dwzhu-pku,LongEmbed,0
AI-Northstar-Tech,vector-io,0
jiangsongtao,Med-MoE,0
TMElyralab,MuseTalk,0
niuzaisheng,ScreenAgent,0
BlinkDL,RWKV-LM,0
GCYZSL,MoLA,0
Beomi,InfiniTransformer,0
sanyalsunny111,LLM-Inheritune,0
Luffy03,VoCo,0
efeslab,fiddler,0
,ttchengabzestcode,0
deepcs233,Visual-CoT,0
facebookresearch,goliath,0
valine,NeuralFlow,0
AILab-CVC,YOLO-World,0
jeffreysijuntan,lloco,0
LingyvKong,OneChart,0
feizc,Diffusion-RWKV,0
,jorge-armando-navarro-floreschatwithyourdocs,0
nullquant,ComfyUI-BrushNet,0
facebookresearch,jepa,0
xiaolul2,MGMap,0
aigc-apps,EasyAnimate,0
SiTH-Diffusion,SiTH,0
jasonacox,TinyLLM,0
reazon-research,ReazonSpeech,0
LargeWorldModel,LWM,0
jiaxilv,GPT4Motion,0
,fry404006308frycoursematerials,0
Vance0124,Token-level-Direct-Preference-Optimization,0
ptran1203,pytorch-animeGAN,0
lamm-mit,GraphReasoning,0
sony,ctm,0
Wuuu3511,GoMVS,0
AllAboutAI-YT,easy-local-rag,0
Chrixtar,latentsplat,0
ming053l,DRCT,0
dingo-actual,infini-transformer,0
naver-ai,rope-vit,0
zsy1987,SA-GS,0
Moemu,Muice-Chatbot,0
aws-samples,genai-quickstart-pocs,0
UnicomAI,Unichat-llama3-Chinese,0
Vision-CAIR,MiniGPT4-video,0
neuralmagic,AutoFP8,0
LeCAR-Lab,ABS,0
Zhaozixiang1228,MMIF-EMMA,0
snap-research,MyVLM,0
cvlab-kaist,GaussianTalker,0
BAAI-DCAI,Bunny,0
HKUNLP,ChunkLlama,0
OpenGVLab,PonderV2,0
Snowflake-Labs,sf-samples,0
adobe-research,VideoDoodles,0
Azure-Samples,AI-Gateway,0
TorchOPC,TorchLitho,0
aplesner,Breaking-reCAPTCHAv2,0
Yu-Fangxu,COLD-Attack,0
kealiu,ComfyUI-ZeroShot-MTrans,0
snu-comparch,InfiniGen,0
OpenGVLab,MMT-Bench,0
ylacombe,musicgen-dreamboothing,0
RuoyuFeng,CCEdit,0
,jianchang512zhrecogn,0
dauparas,LigandMPNN,0
sutro-planet,easyvideotrans,0
AILab-CVC,SEED-X,0
THUDM,CogCoM,0
cvlab-columbia,pix2gestalt,0
,EduKgsentitylinking,0
facebookresearch,searchformer,0
tyhuang0428,DreamPhysics,0
3DTopia,ThemeStation,0
magic-research,PLLaVA,0
OpenRobotLab,HIMLoco,0
GuoCoder,ai-app,0
feizc,DiS,0
ghdtjr,A-LLMRec,0
Infini-AI-Lab,TriForce,0
dcharatan,flowmap,0
georghess,neurad-studio,0
mit-biomimetics,fld,0
,taishan1994,0
a1600012888,PhysDreamer,0
FoundationVision,Groma,0
LLMSecurity,HouYi,0
ICTMCG,Make-Your-Anchor,0
garibida,ReNoise-Inversion,0
s-du,ScribbleArchitect,0
DaiShiResearch,TransNeXt,0
seanzhang-zhichen,llama3-chinese,0
cpldcpu,BitNetMCU,0
decodingml,llm-twin-course,0
starsuzi,Adaptive-RAG,0
TMElyralab,MuseV,0
huggingface,jat,0
OlimpiadaAI,I-OlimpiadaAI,0
Azure,azure-search-vector-samples,0
JackAILab,ConsistentID,0
centerforaisafety,wmdp,0
Concept-Bytes,Jarvis,0
zhanshijinwat,Steel-LLM,0
,analokmauskumautils,0
leggedrobotics,viplanner,0
oneThousand1000,Portrait3D,0
sato-team,Stable-Text-to-Motion-Framework,0
bytedance,MoMA,0
MILVLG,imp,0
YUCHEN005,GenTranslate,0
snap-stanford,stark,0
Hillobar,Rope,0
JeremyCJM,DiffSHEG,0
rui-ye,OpenFedLLM,0
,nickgkan3ddiffuseractor,0
cvlab-kaist,DreamMatcher,0
,teddylee777langserveollama,0
rohan-paul,LLM-FineTuning-Large-Language-Models,0
wzhwzhwzh0921,S-D-Mamba,0
ayushjain1144,odin,0
NUS-HPC-AI-Lab,VideoSys,0
dusty-nv,NanoLLM,0
DC-research,TEMPO,0
AlphaFin-proj,AlphaFin,0
,ppisljarpdftranslator,0
kousw,experimental-consistory,0
WEIRDLabUW,urdformer,0
Langboat,Mengzi3,0
YOLOSHOW,YOLOSHOW,0
KdaiP,StableTTS,0
zhuqinfeng1999,Samba,0
kanishkg,stream-of-search,0
matatonic,openedai-vision,0
,apapiutransformerlatentdiffusion,0
,stylellmstylellmmodels,0
zhizdev,mvdfusion,0
Aquila-Network,aquila,0
ammirsm,llamaindex-omakase-rag,0
stanford-cs336,spring2024-lectures,0
CompVis,zigma,0
myshell-ai,JetMoE,0
FasterDecoding,BitDelta,0
CraftJarvis,JARVIS-1,0
athms,mad-lab,0
huanngzh,EpiDiff,0
chaojie,ComfyUI-MuseV,0
MMStar-Benchmark,MMStar,0
absoluteappsec,handouts,0
Xilinx,finn,0
KMnO4-zx,TinyAgent,0
FusionBrainLab,HairFastGAN,0
NVlabs,LITA,0
,EmbodiedGPTEmbodiedGPTPytorch,0
ben0oil1,GPT-SoVITS-Server,0
Azure99,BlossomLM,0
wyf0912,SinSR,0
tencent-ailab,PCDMs,0
ykdai,BasicPBC,0
chensjtu,GaussianObject,0
databricks,dbrx,0
mozilla,translations,0
,erew123alltalktts,0
Teddy-XiongGZ,MedRAG,0
exx8,differential-diffusion,0
design-edit,DesignEdit,0
zhu-xlab,DOFA,0
superlinked,VectorHub,0
OpenGVLab,InternVideo,0
KyanChen,RSMamba,0
hzxie,CityDreamer,0
NVlabs,FoundationPose,0
CyberAgentAILab,SuperNormal,0
Imageomics,bioclip,0
rasbt,dora-from-scratch,0
winycg,CLIP-KD,0
cvlab-kaist,Talk3D,0
TemporaryLoRA,Temp-LoRA,0
latorc,MahjongCopilot,0
KhoomeiK,interrupting-cow,0
njucckevin,SeeClick,0
nikhil-ghosh-berkeley,loraplus,0
saprmarks,feature-circuits,0
datawhalechina,awesome-compression,0
getao,icae,0
CBIhalsen,PolyglotPDF,0
,insightbuilderpythondelearnersdata,0
rnadigital,agentcloud,0
aixcoder-plugin,aiXcoder-7B,0
zjunlp,MachineSoM,0
meta-llama,llama3,0
JigsawStack,insanely-fast-whisper-api,0
felipemaiapolo,tinyBenchmarks,0
iceychris,LibreASR,0
princeton-nlp,QuRating,0
NJU-PCALab,AddSR,0
ROCm,AMDMIGraphX,0
techwithtim,AI-Agent-Code-Generator,0
dendenxu,fast-gaussian-rasterization,0
EfficientMoE,MoE-Infinity,0
GraphPKU,PiSSA,0
julep-ai,julep,0
EleutherAI,cookbook,0
apple,ml-4m,0
,karpathy,0
SqueezeBits,QUICK,0
wutong16,HyperDreamer,0
HilaManor,AudioEditingCode,0
exo-explore,mlx-bitnet,0
illuin-tech,colpali,0
LaMP-Benchmark,LaMP,0
Hsword,SpotServe,0
astral-sh,uv,0
boheumd,MA-LMM,0
OpenBMB,MiniCPM,0
,joeyangaussiansplatting,0
IDKiro,sdxs,0
arcee-ai,PruneMe,0
Adamdad,hash3D,0
shivamguys,irctc-cypress-automation,0
FoundationVision,VAR,0
catid,dora,0
aishwaryaprabhat,goku,0
,PABannier,0
PKU-YuanGroup,MagicTime,0
bsmhmmlf,Gaussian-Shading,0
jonfairbanks,local-rag,0
facebookresearch,CollaQ,0
ray-project,ray-educational-materials,0
AssafSinger94,dino-tracker,0
cvlab-kaist,CoPoNeRF,0
GaParmar,img2img-turbo,0
EpistasisLab,KRAGEN,0
cgtuebingen,SIGNeRF,0
ankile,robust-rearrangement,0
,TomiinekMultilingualTexttoSpeech,0
naoto0804,pytorch-inpainting-with-partial-conv,0
georgeretsi,smirk,0
V-DETR,V-DETR,0
bytedance,DEADiff,0
TIGER-AI-Lab,LongICLBench,0
CyberAgentAILab,RALF,0
chaojie,ComfyUI-MuseTalk,0
DD-DuDa,BitDistiller,0
,yandexdataschoolsdccourse,0
samet-akcay,skip-ganomaly,0
Ledzy,BAdam,0
instantX-research,InstantStyle,0
buaavrcg,LEGaussians,0
YBYBZhang,VideoElevator,0
Beckschen,ViTamin,0
aim-uofa,GenPercept,0
witcherofresearch,Forgedit,0
THUDM,AutoWebGLM,0
spcl,QuaRot,0
ChenHongruixuan,MambaCD,0
,huangzh13,0
maturk,dn-splatter,0
TencentARC,CustomNet,0
facebookresearch,NeuralDB,0
AstraBert,everything-ai,0
naoto0804,pytorch-AdaIN,0
causify-ai,kaizenflow,0
ModalMinds,MM-EUREKA,0
ShayanTalaei,CHESS,0
,Hhhhhhaocontinuoustokenizer,0
Avdpro,ai2apps,0
morphik-org,morphik-core,0
DepthAnything,PromptDA,0
zhanggang001,CEDNet,0
baaivision,NOVA,0
QwenLM,ProcessBench,0
deepseek-ai,DeepSeek-VL2,0
jerber,lang-jepa,0
Physical-Intelligence,openpi,0
TencentARC,BrushEdit,0
gastruc,AnySat,0
IamCreateAI,Ruyi-Models,0
hustvl,DiffusionDrive,0
saharmor,gemini-multimodal-playground,0
,if-aiComfyUI-IFTrellis,0
OpenMOSS,Language-Model-SAEs,0
lqiang67,rectified-flow,0
prs-eth,Marigold-DC,0
Robot-VLAs,RoboVLMs,0
GigaAI-research,DriveDreamer4D,0
hustvl,GaussTR,0
tdrussell,diffusion-pipe,0
NSFW-API,TripleX,0
mowshon,lipsync,0
mesolitica,malaysian-dataset,0
OWASP-BLT,BLT,0
KovenYu,WonderWorld,0
taco-group,OpenEMMA,0
NexaAI,nexa-sdk,0
intel,AI-Playground,0
ziyanx02,Genesis-backflip,0
VITA-MLLM,VITA,0
bytedance,LatentSync,0
nyrahealth,CrisperWhisper,0
Stephen-SMJ,LAMBDA,0
circleLZY,MTKD-CD,0
thunlp,LLaVA-UHD,0
thuml,OpenLTM,0
wen-yuan-zhang,GS-Pull,0
,smthemexComfyUITRELLIS,0
allenzren,open-pi-zero,0
dvlab-research,Lyra,0
lehduong,OneDiffusion,0
callmesora,llmops-python-package,0
dweam-team,world-arcade,0
franciszzj,Leffa,0
alimama-tech,AuctionNet,0
zhaoyangpp,LottoProphet,0
apple,ml-tarflow,0
facebookresearch,uco3d,0
InternLM,Tutorial,0
Photon-AI-Research,NeuralSolvers,0
humansplat,humansplat,0
TencentARC,NVComposer,0
cyberark,FuzzyAI,0
Zy-Fang1102,E-Stega,0
ByteFlow-AI,TokenFlow,0
hustvl,Senna,0
,magic-quillComfyUIMagicQuill,0
hkchengrex,MMAudio,0
metadriverse,SimGen,0
,whottoVideonotegenerator,0
facebookresearch,metamotivo,0
ali-vilab,FreeScale,0
yang-zj1026,VLN-CE-Isaac,0
yang-zj1026,legged-loco,0
lucidrains,coconut-pytorch,0
lihxxx,DisPose,0
sb-ai-lab,LightAutoML,0
slyfox1186,script-repo,0
HustInfSecLabs,PentestAssistant,0
baaivision,See3D,0
shallowdream204,DreamClear,0
nv-tlabs,SCube,0
ixarchakos,try-off-anyone,0
csslc,CCSR,0
NX-AI,xlstm,0
mozilla-ai,lumigator,0
RedAIGC,Flux-version-LayerDiffuse,0
AbrahamYabo,LiftImage3D,0
lixionga,ProFace,0
ictnlp,FlexRAG,0
aim-uofa,Framer,0
,zhenye234,0
Srameo,LE3D,0
magic-research,Sa2VA,0
HJYao00,Mulberry,0
SamuelSchmidgall,AgentLaboratory,0
lumina-ai-inc,chunkr,0
CNTRLAI,Notate,0
ictnlp,LLaVA-Mini,0
Stability-AI,stable-point-aware-3d,0
xlite-dev,ffpa-attn-mma,0
habla-liaa,ser-with-w2v2,0
bagel-org,ZKLoRA,0
secretflow,spu,0
microsoft,RAS,0
facebookresearch,mvdust3r,0
sunnynexus,Search-o1,0
FreedomIntelligence,RAG-Instruct,0
sihengz02,UH-1,0
taishan1994,BERT-BILSTM-CRF,0
NJU-PCALab,RAG-Diffusion,0
FreedomIntelligence,HuatuoGPT-Vision,0
facebookresearch,coconut,0
dreadnode,dyana,0
PierrunoYT,Kokoro-TTS-Local,0
MarioSieg,magnetron,0
zacharyhorvitz,Fk-Diffusion-Steering,0
gorgarp,Recommender,0
morettt,my-neuro,0
jixiaozhong,Sonic,0
limuloo,3DIS,0
TATP-233,DISCOVERSE,0
SakanaAI,self-adaptive-llms,0
LiveCodeBench,LiveCodeBench,0
FareedKhan-dev,train-llm-from-scratch,0
Stability-AI,stable-codec,0
,SonyResearchmicrodiffusion,0
bugbakery,transcribee,0
ai4ce,MSG,0
RochelleNi,GenesisEnvs,0
PRIME-RL,PRIME,0
sergei680,Blueprint-PyTorch,0
fudan-generative-vision,hallo3,0
icip-cas,StructRAG,0
c3rb3ru5d3d53c,binlex,0
ystemsrx,mini-nanoGPT,0
bagh2178,SG-Nav,0
mumawQAQ,hsr-scanner,0
PRIME-RL,ImplicitPRM,0
LangChain-OpenTutorial,LangChain-OpenTutorial,0
Ikaros-521,AI-Vtuber,0
tdrussell,qlora-pipe,0
kai422,DAS3R,0
YvanYin,DrivingWorld,0
tencent-ailab,Leopard,0
yzslab,gaussian-splatting-lightning,0
jwhj,OREO,0
SpatialVision,Orient-Anything,0
FoundationVision,Infinity,0
THUDM,CogAgent,0
TencentARC,StereoCrafter,0
FreedomIntelligence,HuatuoGPT-o1,0
Pscgylotti,RAIN,0
NVIDIA-AI-Blueprints,pdf-to-podcast,0
,muxueChenComfyUINTCosyVoice,0
leilin-research,VTP,0
PantoMatrix,PantoMatrix,0
itsPreto,tangent,0
hhhuang,CAG,0
,libn-netmarketingcreatorpromaxbackend,0
EvolvingLMMs-Lab,multimodal-sae,0
THUDM,VisionReward,0
,Ikaros-521RealtimeSTTLLMTTS,0
csslc,PiSA-SR,0
declare-lab,TangoFlux,0
arthurhero,Long-LRM,0
little51,llm-dev,0
